2022-07-14 20:52:36,693 - root - INFO - 

***** starting gs_nft_api.py *****

2022-07-14 20:52:52,605 - root - INFO - gathering data on collection 33 of 277 - AiApe {'itemCount': 7, 'floorPrice': '185000000000000000', 'totalVolume': '12266490000000000000', 'forSale': '25'}
2022-07-14 20:52:53,045 - root - INFO - gathering data on collection 34 of 277 - modulor {'itemCount': 4, 'floorPrice': '38000000000000000', 'totalVolume': '3671300000000000000', 'forSale': '26'}
2022-07-14 20:52:53,445 - root - INFO - gathering data on collection 35 of 277 - vinzomniaccollabs {'itemCount': 2, 'floorPrice': '200000000000000000', 'totalVolume': '200000000000000000', 'forSale': '4'}
2022-07-14 20:52:54,017 - root - INFO - gathering data on collection 36 of 277 - artist {'itemCount': 1, 'floorPrice': '0', 'totalVolume': '500000000000000000', 'forSale': '0'}
2022-07-14 20:52:54,488 - root - INFO - gathering data on collection 37 of 277 - BumbleberryCollaborations {'itemCount': 1, 'floorPrice': '200000000000000000', 'totalVolume': '0', 'forSale': '5'}
2022-07-14 20:52:54,979 - root - INFO - gathering data on collection 38 of 277 - pixels {'itemCount': 7, 'floorPrice': '25000000000000000', 'totalVolume': '5623380000000000000', 'forSale': '78'}
2022-07-14 20:52:55,369 - root - INFO - gathering data on collection 39 of 277 - misfitbranding {'itemCount': 1, 'floorPrice': '0', 'totalVolume': '0', 'forSale': '0'}
2022-07-14 20:52:55,795 - root - INFO - gathering data on collection 40 of 277 - Wav {'itemCount': 4, 'floorPrice': '20000000000000000', 'totalVolume': '5651000000000000000', 'forSale': '94'}
2022-07-14 20:52:56,425 - root - INFO - gathering data on collection 41 of 277 - lc-accessories {'itemCount': 5, 'floorPrice': '10000000000000000', 'totalVolume': '820000000000000000', 'forSale': '24928'}
2022-07-14 20:52:56,897 - root - INFO - gathering data on collection 42 of 277 - lc-collab {'itemCount': 1, 'floorPrice': '200000000000000000', 'totalVolume': '200000000000000000', 'forSale': '4'}
2022-07-14 20:52:57,361 - root - INFO - gathering data on collection 43 of 277 - collaborations {'itemCount': 1, 'floorPrice': '200000000000000000', 'totalVolume': '200000000000000000', 'forSale': '4'}
2022-07-14 20:52:57,767 - root - INFO - gathering data on collection 44 of 277 - polyform_labs {'itemCount': 1, 'floorPrice': '0', 'totalVolume': '0', 'forSale': '0'}
2022-07-14 20:52:58,191 - root - INFO - gathering data on collection 45 of 277 - OrdinaryCollab {'itemCount': 1, 'floorPrice': '2000000000000000000', 'totalVolume': '1000000000000000000', 'forSale': '3'}
2022-07-14 20:52:58,613 - root - INFO - gathering data on collection 46 of 277 - ASBTcollabs {'itemCount': 1, 'floorPrice': '12000000000000000000', 'totalVolume': '1000000000000000000', 'forSale': '1'}
2022-07-14 20:52:59,044 - root - INFO - gathering data on collection 47 of 277 - skinner {'itemCount': 9, 'floorPrice': '150000000000000000', 'totalVolume': '680000000000000000', 'forSale': '11'}
2022-07-14 20:52:59,479 - root - INFO - gathering data on collection 48 of 277 - partners {'itemCount': 1, 'floorPrice': '200000000000000000', 'totalVolume': '200000000000000000', 'forSale': '4'}
2022-07-14 20:52:59,952 - root - INFO - gathering data on collection 49 of 277 - theksstory {'itemCount': 1, 'floorPrice': '0', 'totalVolume': '0', 'forSale': '0'}
2022-07-14 20:53:00,347 - root - INFO - gathering data on collection 50 of 277 - Storm109collaborations {'itemCount': 1, 'floorPrice': '200000000000000000', 'totalVolume': '200000000000000000', 'forSale': '5'}
2022-07-14 20:53:00,974 - root - INFO - gathering data on collection 51 of 277 - demons {'itemCount': 10, 'floorPrice': '10000000000000000', 'totalVolume': '8171710000000000000', 'forSale': '956'}
2022-07-14 20:53:01,411 - root - INFO - gathering data on collection 52 of 277 - StupidMonkeysCollab {'itemCount': 3, 'floorPrice': '200000000000000000', 'totalVolume': '0', 'forSale': '7'}
2022-07-14 20:53:01,831 - root - INFO - gathering data on collection 53 of 277 - dtweeniespecials {'itemCount': 3, 'floorPrice': '1690000000000000000', 'totalVolume': '4000000000000000000', 'forSale': '1'}
2022-07-14 20:53:02,240 - root - INFO - gathering data on collection 54 of 277 - collabs {'itemCount': 2, 'floorPrice': '200000000000000000', 'totalVolume': '0', 'forSale': '5'}
2022-07-14 20:53:02,663 - root - INFO - gathering data on collection 55 of 277 - collab {'itemCount': 1, 'floorPrice': '200000000000000000', 'totalVolume': '0', 'forSale': '5'}
2022-07-14 20:53:03,292 - root - INFO - gathering data on collection 56 of 277 - vault {'itemCount': 1, 'floorPrice': '0', 'totalVolume': '10000000000000000000', 'forSale': '0'}
2022-07-14 20:53:03,716 - root - INFO - gathering data on collection 57 of 277 - LoopfishLaunchCreatorCollabs {'itemCount': 15, 'floorPrice': '200000000000000000', 'totalVolume': '4000000000000000000', 'forSale': '67'}
